,Compound Key,Smiles,SMILES,doi,Document ChEMBL ID,WT,L858R,L858R/T790M,L858R/T790M/C797S
0,2h,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,10.1021/acs.jmedchem.0c02005,CHEMBL4732150,1,1,1,-1
1,79,C#Cc1cc(F)c2c(c1)C(=O)N(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2,C#Cc1cc(F)c2c(c1)C(=O)N(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2,,23,-1,1,1,1
2,78,C#Cc1cc(F)c2c(c1)CN(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2=O,C#Cc1cc(F)c2c(c1)CN(C(CC#CC#Cc1c(C(N)=O)cnc3[nH]ccc13)c1cc(F)ccc1F)C2=O,,23,-1,-1,-1,0
3,56,C#Cc1ccc(C(CC#CC#Cc2c(C(N)=O)cnc3[nH]ccc23)c2cc(F)ccc2F)c(=O)n1C,C#Cc1ccc(C(CC#CC#Cc2c(C(N)=O)cnc3[nH]ccc23)c2cc(F)ccc2F)c(=O)n1C,,23,-1,-1,-1,0
4,4b,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
5,4a,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
6,8--12,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,,CHEMBL3638579,1,1,0,0
7,8--46,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C2CCCC2)c1,C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C2CCCC2)c1,,CHEMBL3638579,1,1,1,-1
8,4c,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,1,-1
9,Erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,10.1021/jm901877j,CHEMBL1156950,1,1,0,0
