valid_true,valid_probe
0,0.48772308
1,0.48356253
0,0.4842948
1,0.47326875
1,0.3853041
0,0.44560653
0,0.51576674
0,0.41402826
1,0.4655481
1,0.4852254
0,0.4725791
0,0.45641756
0,0.47741714
0,0.48472553
0,0.44814482
0,0.46033928
1,0.45437393
1,0.48751363
1,0.5101093
1,0.4661856
1,0.4275085
0,0.36289158
0,0.47493792
0,0.44749144
1,0.41174364
1,0.5100495
1,0.4281043
1,0.4606401
0,0.44428006
1,0.44332242
0,0.45817095
1,0.49871963
0,0.4520595
0,0.45795235
1,0.48625907
1,0.44564104
1,0.4788606
1,0.43151337
1,0.4902308
1,0.48401326
1,0.4764102
1,0.47990584
1,0.43792266
0,0.47644585
0,0.53667176
0,0.4147538
0,0.4608319
1,0.39524043
1,0.49664122
1,0.5112147
0,0.42004746
1,0.5025684
1,0.48493728
1,0.46138325
0,0.35799006
1,0.49822965
1,0.4521213
0,0.4603698
1,0.44622326
1,0.43742672
1,0.38698617
1,0.5190206
1,0.44427335
1,0.41954452
0,0.4424233
1,0.4898503
1,0.4624914
1,0.45772454
0,0.48478386
0,0.47755203
0,0.41825697
0,0.42557347
1,0.49984533
1,0.4380605
0,0.4358289
0,0.47472596
0,0.46762434
0,0.40832973
1,0.4103761
1,0.48651677
0,0.4427664
0,0.4461548
1,0.4713059
1,0.45297536
1,0.4600431
0,0.47096857
1,0.48991153
1,0.39960718
0,0.41547713
0,0.42200437
0,0.449115
1,0.46913308
0,0.46743473
0,0.479082
0,0.42986786
0,0.47528148
1,0.5111092
0,0.44400337
0,0.43833354
1,0.37535608
1,0.4952456
1,0.45815474
1,0.50058395
1,0.49526545
1,0.45567814
1,0.4742177
0,0.43289948
0,0.43832657
1,0.5226422
1,0.4911593
1,0.41369754
1,0.46079373
1,0.44108745
1,0.45608693
1,0.3722949
1,0.47350577
1,0.45633167
1,0.41042367
1,0.524356
1,0.4813204
1,0.4892646
1,0.4508368
1,0.44768658
1,0.48134792
1,0.4518502
1,0.47124332
1,0.48427883
1,0.43126038
1,0.53448653
1,0.46096355
1,0.43979743
1,0.46330968
1,0.45188642
1,0.4670597
1,0.50067395
1,0.4413101
1,0.4151798
1,0.4835718
1,0.49989346
1,0.40940163
0,0.43701446
1,0.4601715
1,0.43256003
1,0.44441408
1,0.3929344
1,0.536847
1,0.48852685
1,0.47920817
0,0.48242962
0,0.4812637
0,0.4663231
0,0.418078
0,0.5177067
0,0.48975444
0,0.44103652
0,0.40512598
1,0.47919843
1,0.49158108
1,0.5326831
1,0.50360066
1,0.46279967
0,0.4819788
0,0.4645429
0,0.4383362
0,0.43802702
1,0.4809155
1,0.42977482
1,0.46561214
1,0.52721727
0,0.39547595
0,0.4180484
0,0.45712322
1,0.42262852
0,0.48777255
0,0.43574885
0,0.5260087
0,0.45830983
1,0.41488704
0,0.48115596
1,0.44146368
1,0.5577715
1,0.46995866
1,0.49921113
1,0.5026736
1,0.43708506
0,0.49037936
0,0.45868313
0,0.3972662
0,0.4166125
1,0.4823777
1,0.49176356
1,0.45085403
0,0.42397735
1,0.54174304
1,0.47919163
1,0.4153136
0,0.47255918
0,0.5257819
0,0.44609582
0,0.50265354
0,0.40135682
1,0.48199323
1,0.5110164
1,0.4485314
1,0.51716727
1,0.44722176
0,0.46070254
1,0.43741125
1,0.5255326
1,0.5432155
1,0.45785916
0,0.495754
0,0.43486884
0,0.464603
0,0.43840772
1,0.50068176
1,0.48302466
1,0.5837545
1,0.53502744
1,0.41203862
0,0.41797984
0,0.4598137
0,0.4720908
1,0.44891715
1,0.51529825
0,0.39375222
0,0.42279476
1,0.4445375
1,0.4834373
0,0.44960135
0,0.45230773
0,0.4580428
0,0.5345008
0,0.39875275
0,0.43060684
1,0.46790332
1,0.48700684
1,0.45106202
1,0.4609879
0,0.47520784
0,0.45588487
0,0.4347176
1,0.41673198
1,0.5209152
1,0.4844704
0,0.49825326
0,0.46511555
1,0.48555925
1,0.41998807
1,0.45591986
1,0.48380625
1,0.43881568
1,0.39577445
1,0.4937412
1,0.44728565
1,0.44461358
1,0.51327807
1,0.423703
1,0.47204468
1,0.46419966
1,0.4563539
1,0.46331552
1,0.4663402
1,0.48250234
1,0.5047404
1,0.47234493
0,0.401224
0,0.48762318
0,0.45684546
0,0.49802598
0,0.4940916
0,0.49870422
1,0.4304365
0,0.4532284
0,0.37591472
0,0.46460414
0,0.41720852
0,0.48575246
1,0.48586282
1,0.476331
1,0.4556874
0,0.47965392
0,0.48807582
0,0.44235402
1,0.43811798
0,0.48976707
0,0.5083769
0,0.45184422
0,0.46862936
1,0.47647503
1,0.48849034
1,0.45815545
1,0.47410783
0,0.40798742
0,0.468059
0,0.38478908
0,0.5074481
0,0.4734358
0,0.4309999
1,0.45040667
1,0.47991922
1,0.37824
1,0.4501992
1,0.49620232
1,0.43422675
1,0.49793267
0,0.5202003
0,0.4402963
0,0.47481146
0,0.45808047
0,0.48177972
0,0.48414344
1,0.40718216
0,0.46455473
0,0.4919514
0,0.46360624
0,0.41309723
0,0.4557601
0,0.41275597
0,0.4356785
0,0.45442125
0,0.5031042
1,0.52773714
1,0.45927408
1,0.5396095
1,0.37719443
1,0.48095524
1,0.55825454
1,0.5011478
1,0.43080628
1,0.4668848
1,0.5079212
1,0.5073406
1,0.49032542
0,0.4518911
1,0.44917282
1,0.4415637
0,0.42116717
0,0.48335698
0,0.44924825
0,0.44216353
0,0.42548627
0,0.5177095
0,0.42484397
0,0.48776948
0,0.48659062
0,0.47306073
1,0.42695537
0,0.5473629
0,0.461325
0,0.3806175
0,0.3982163
0,0.48791674
1,0.4676014
1,0.40978193
1,0.4347212
0,0.4796899
0,0.4649022
0,0.4435619
1,0.49032927
1,0.4882777
1,0.46505216
1,0.4751722
1,0.4285311
1,0.45563665
1,0.53793395
1,0.45565784
1,0.48416018
0,0.3952586
1,0.48023474
1,0.47461158
0,0.4116926
0,0.5047635
0,0.40381348
0,0.46856087
1,0.4416115
1,0.5184468
1,0.4536414
1,0.43383762
1,0.52531093
1,0.46874925
1,0.45971882
0,0.4575661
0,0.42247787
1,0.48036543
1,0.44476143
1,0.47489434
1,0.4797625
0,0.4712394
0,0.38019806
0,0.3904651
0,0.47838372
0,0.48132515
0,0.45577508
0,0.44237256
1,0.49190873
1,0.4397789
1,0.50534
0,0.43471602
1,0.5136741
1,0.4455226
0,0.43075213
0,0.48291725
0,0.47265813
0,0.45632333
1,0.4064986
