train_true,train_probe
1,0.42118463
1,0.42228574
0,0.44568583
0,0.47415736
0,0.41981435
0,0.43857452
0,0.43717477
0,0.47148457
1,0.4190962
1,0.43739337
1,0.4351617
1,0.4840918
1,0.41805926
1,0.4387443
1,0.43718702
1,0.4255189
1,0.4478944
1,0.43797138
1,0.41180816
1,0.44192472
1,0.4405492
1,0.4344044
0,0.4354782
0,0.48110056
1,0.44420245
1,0.43693826
0,0.40873766
0,0.42386484
0,0.43963745
0,0.48222762
0,0.40803027
1,0.45037606
1,0.42351332
1,0.48803273
0,0.4142536
1,0.43849576
1,0.43984067
1,0.424199
1,0.43049243
1,0.45360112
1,0.42755672
1,0.4228131
1,0.44888496
0,0.4206159
0,0.44284797
1,0.44235006
0,0.46793506
1,0.42007476
1,0.43462002
1,0.44315395
1,0.41107643
0,0.43470424
0,0.44249922
0,0.47747624
1,0.4086597
1,0.4344511
1,0.43011802
1,0.47719908
0,0.413327
1,0.43878862
1,0.4406534
1,0.42338282
1,0.43145415
0,0.44923797
0,0.47178042
1,0.4247056
1,0.4307336
1,0.4338099
1,0.4852336
1,0.4715452
0,0.41830558
1,0.43537822
1,0.43774822
0,0.42019948
1,0.42229465
1,0.42793816
1,0.46813685
1,0.40633598
0,0.43844616
0,0.47817305
0,0.42397186
1,0.42756817
1,0.4460037
0,0.40691873
1,0.44250607
1,0.4279509
0,0.42215028
1,0.4423286
1,0.4301265
1,0.43312287
1,0.45145676
1,0.47575125
0,0.40149695
0,0.4248112
1,0.43798327
0,0.47770566
1,0.41850117
1,0.4318658
1,0.4756808
0,0.42766345
1,0.42538622
1,0.4488716
0,0.42655653
0,0.43751106
0,0.48442784
1,0.41675586
1,0.43846577
1,0.4244703
0,0.4223968
1,0.42425418
1,0.4533732
1,0.4820402
1,0.42513192
0,0.4346564
0,0.43863672
0,0.48682544
1,0.42588857
1,0.43482026
1,0.45021018
0,0.4073946
0,0.43789557
0,0.43327448
0,0.46868855
0,0.42026243
0,0.4374991
0,0.47047257
1,0.41939273
1,0.43540406
0,0.4395466
0,0.47396404
0,0.41127837
0,0.45031333
0,0.42998526
0,0.47626787
0,0.43273634
1,0.41445723
1,0.45372376
0,0.4163728
1,0.42241293
1,0.43904266
1,0.43205658
1,0.43077368
1,0.447658
1,0.46629184
0,0.41992095
