valid_true,valid_probe
1,0.9991547
1,0.9990403
1,0.99803466
1,0.9993918
0,0.0014671861
1,0.0010905047
1,0.001193858
1,0.9878848
1,0.9916501
1,0.94177896
0,0.0035242944
1,0.0011279683
1,0.0011592805
1,0.0003037129
0,0.00027211595
0,0.00042709208
1,0.979706
1,0.9814982
1,0.9857428
0,0.00096135936
0,0.00061670673
0,0.00056679954
0,0.00063582236
1,0.17978022
0,0.0052418467
0,0.003789452
0,0.0027429513
1,0.9956222
1,0.9955363
1,0.9950754
1,0.9980106
1,0.99740237
1,0.99699855
0,0.0047535757
1,0.97798604
1,0.98707926
1,0.98417145
1,0.99115914
1,0.9903352
0,0.0019298578
1,0.9947225
1,0.9942788
1,0.99535275
1,0.99561787
1,0.9971744
1,0.9964043
1,0.99820125
1,0.9977818
0,0.99389267
0,0.99283034
0,0.9955036
1,0.006243676
1,0.41824305
1,0.54691654
1,0.9924891
1,0.9524161
1,0.9358841
1,0.9944119
1,0.99531966
1,0.99191123
1,0.9972132
1,0.9669941
1,0.99208635
1,0.9934481
1,0.99466693
1,0.9952615
1,0.9954631
1,0.99741346
1,0.9949704
1,0.99522996
0,0.00020157611
0,8.037691e-05
0,7.653821e-05
0,0.00011104997
1,0.9927769
1,0.9966137
1,0.99493223
1,0.9967334
1,0.99537814
1,0.99508494
1,0.9982284
1,0.004465653
1,0.0016423801
1,0.0017186905
0,0.99547464
1,0.0136353215
0,0.0014039369
0,0.0009016898
0,0.0011614565
1,0.99600405
1,0.9955675
0,0.04446747
0,0.99206346
1,0.9015819
1,0.7803354
1,0.99793136
1,0.99620736
1,0.99480903
1,0.9970079
0,0.15748766
0,0.9959099
0,0.99700934
0,0.01589634
1,0.99509627
1,0.99502474
1,0.99843186
1,0.9941186
1,0.9938206
1,0.9942101
0,0.0017522107
0,0.16958174
0,0.23183613
0,0.025264539
1,0.99614245
1,0.99394435
1,0.9905939
0,0.003320038
1,0.0015996053
0,0.0018361764
0,0.0016013423
0,0.0019703712
0,0.00044132757
1,0.00042523933
0,0.000711767
0,0.0032164492
0,0.0054885065
0,0.006819516
0,0.0018372578
1,0.9983719
1,0.9974886
1,0.9987644
1,0.9812026
1,0.993196
1,0.9922505
1,0.98988086
1,0.9954111
1,0.99577975
0,0.0011461911
0,0.0004914311
0,0.0005509657
0,0.0006115096
1,0.9912361
0,0.0036773891
0,0.0006238796
0,0.0007892604
1,0.99460876
1,0.0050467667
1,0.00081585214
0,0.0026520554
0,0.0006952205
1,0.0006393276
0,0.0009629678
1,0.9969721
1,0.9971199
1,0.996949
0,0.00027429799
0,0.000117263124
0,0.00011148318
0,0.00016247034
1,0.9931552
1,0.9932405
