repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9233300669971525,0.8622394913458142,0.9844206426484907,0.9391229285449694,0.8359466378093815
0,valid,0.820940966131048,0.8008356545961003,0.8410462776659959,0.820940966131048,0.6330314150387046
0,test,0.8255430055845463,0.8499496475327291,0.8011363636363636,0.8255430055845463,0.6398804320472796
1,train,0.9455756276791182,0.9037267080745341,0.9874245472837022,0.9672969667556754,0.8785374400809927
1,valid,0.830518624985028,0.8250688705234159,0.8359683794466403,0.8305186249850282,0.6541780527068844
1,test,0.8183593095357802,0.809368191721133,0.8273504273504273,0.8183593095357801,0.6256520801303241
2,train,0.88510097558224,0.8092605390463027,0.9609414121181773,0.9422249303464528,0.7571795127911347
2,valid,0.7780295765267065,0.7039030955585465,0.8521560574948666,0.7780295765267065,0.5441699252410539
2,test,0.7480570128603927,0.6574585635359116,0.838655462184874,0.7480570128603928,0.4869125777103177
3,train,0.9302931736115092,0.8815068493150685,0.9790794979079498,0.9471225353929041,0.8444933987098385
3,valid,0.804248263461881,0.7549933422103862,0.8535031847133758,0.804248263461881,0.5928040472126149
3,test,0.7919627657468625,0.7347876004592423,0.8491379310344828,0.7919627657468624,0.5809745615623716
4,train,0.9434210407423005,0.898258791396381,0.98858329008822,0.9619951195770938,0.8715071654958199
4,valid,0.8086227687337858,0.7849604221635884,0.8322851153039832,0.8086227687337857,0.6036786980130432
4,test,0.7902534113060429,0.7286549707602339,0.8518518518518519,0.7902534113060429,0.5773462589883287
