valid_true,valid_probe
1,0.25179297
1,0.9502225
0,0.95685184
1,0.9778471
0,0.004852471
0,0.028101657
0,0.019938221
0,0.6706632
1,0.9610604
1,0.9598103
1,0.9815575
1,0.9871939
1,0.96024024
1,0.96955013
1,0.007904416
1,0.02361034
1,0.016030177
0,0.0014312636
0,0.30094543
0,0.27823257
0,0.99769336
1,0.9890766
1,0.93743795
1,0.93620944
0,0.05617221
1,0.9075378
1,0.88446355
0,0.93615294
0,0.013938109
0,0.007900725
0,0.009652026
0,0.094035424
0,0.79686356
0,0.9957818
0,0.011362469
1,0.01073014
1,0.008184944
0,0.008664854
0,0.009399993
0,0.00820627
0,0.033744972
1,0.11607693
1,0.9795831
1,0.9844935
1,0.98254573
1,0.9798126
1,0.9324914
1,0.946173
1,0.87582254
0,0.0064324867
0,0.0030456262
0,0.0055222553
1,0.8613708
0,0.851408
0,0.6995977
0,0.98720795
1,0.9578075
1,0.97149354
1,0.77394384
1,0.95721346
1,0.97448844
1,0.9832328
0,0.012461966
0,0.9655446
0,0.9644509
1,0.9727276
0,0.005693641
0,0.0056753815
0,0.006195735
1,0.92631966
1,0.9281411
1,0.951714
1,0.79553246
0,0.16158305
1,0.93591666
1,0.49630013
0,0.35959524
0,0.029678376
1,0.9683888
1,0.9751926
0,0.97149783
1,0.96438974
1,0.9749204
0,0.085413486
0,0.013765878
0,0.012123014
0,0.008936016
1,0.92699337
1,0.7661982
1,0.79661536
0,0.049952857
1,0.98328906
1,0.97353256
1,0.9829117
1,0.98736054
1,0.9710876
1,0.9758789
0,0.012586193
1,0.27492094
1,0.27597412
0,0.039815854
1,0.95089024
1,0.94825596
1,0.9520285
1,0.92275935
0,0.938629
0,0.9039337
1,0.95141435
1,0.9511162
1,0.9688259
1,0.9560446
1,0.02404403
0,0.012115718
0,0.01688704
0,0.8171286
1,0.9211344
1,0.9269611
1,0.91661626
1,0.97889173
1,0.9650203
1,0.98010194
1,0.015907653
1,0.049775682
1,0.0493351
1,0.9638999
1,0.9697142
1,0.9620172
1,0.94175804
1,0.7228635
1,0.6647688
1,0.09198934
0,0.0014621023
0,0.00092537346
0,0.0012758814
0,0.02655729
0,0.8010895
0,0.8049326
0,0.15894656
1,0.94925004
1,0.9742096
1,0.9853271
1,0.0018059451
1,0.0062662284
1,0.0052027474
1,0.0026739254
0,0.014506088
1,0.6612457
1,0.6380701
0,0.22268304
0,0.6103113
0,0.022625985
0,0.6045207
0,0.4239246
0,0.55228966
0,0.25632697
0,0.004767096
0,0.009614377
0,0.005156775
1,0.9788795
1,0.87823564
1,0.8639537
0,0.12286251
1,0.01668299
1,0.014206584
1,0.00992998
0,0.9202024
1,0.2788121
1,0.21141398
1,0.9541568
1,0.9787744
1,0.98991406
1,0.9639395
1,0.95556283
1,0.95650697
1,0.912573
1,0.9530996
1,0.9735314
0,0.009456699
0,0.011102285
0,0.008002828
0,0.06348044
1,0.9859162
1,0.9543028
1,0.95161045
0,0.9694644
1,0.9659222
1,0.9745908
0,0.016763689
1,0.98346347
1,0.98377603
0,0.062137205
1,0.72536546
1,0.68719345
1,0.862273
1,0.97494656
1,0.9832335
1,0.9321232
0,0.0036715653
0,0.008569355
0,0.00439981
0,0.008362937
0,0.97354424
1,0.96797425
1,0.97898304
1,0.6221053
0,0.99063665
1,0.9566337
1,0.9685733
1,0.9790462
0,0.0051564835
0,0.006644536
0,0.0072627533
1,0.945243
1,0.059586342
1,0.040319547
0,0.018792601
1,0.010599543
0,0.014009355
0,0.8121362
1,0.26364172
1,0.22168905
0,0.03282709
1,0.30234316
1,0.25183153
1,0.28459096
0,0.011557131
0,0.883146
0,0.8902503
0,0.96971816
1,0.9363638
1,0.5351807
1,0.4543502
0,0.30529574
0,0.050147284
1,0.95184886
1,0.89081055
1,0.8819954
1,0.9862862
0,0.9741063
0,0.4088046
1,0.07333207
1,0.24935882
1,0.2572841
0,0.0070331683
0,0.015109199
0,0.012306019
1,0.94460094
1,0.92498064
1,0.93838495
1,0.9634782
1,0.9830111
1,0.99354917
0,0.005343489
0,0.008809806
0,0.006032147
0,0.0056287707
1,0.9739231
1,0.9505828
1,0.95521593
1,0.9869344
1,0.9737921
1,0.97589123
1,0.97137296
1,0.068221
1,0.015580392
1,0.909386
1,0.94061047
1,0.947374
1,0.94832456
1,0.9802069
1,0.9888293
1,0.9349897
1,0.95950425
1,0.96036977
0,0.0048367353
0,0.010266232
0,0.0096448595
0,0.0073795156
0,0.0060619824
0,0.031258613
0,0.020248787
0,0.021323353
0,0.0054644966
0,0.0101837795
1,0.011942054
0,0.0050146147
0,0.036018778
1,0.05142605
1,0.04760052
1,0.7707382
1,0.011289872
1,0.005528929
0,0.0059212684
0,0.07795445
0,0.07139182
0,0.9704223
1,0.972652
1,0.9801168
1,0.98181975
1,0.9667886
1,0.9755165
1,0.9494162
1,0.93309414
1,0.9421617
1,0.95487
1,0.9775958
1,0.9920631
1,0.9649226
1,0.9561622
1,0.96309173
0,0.0011656148
1,0.44880557
1,0.42464763
1,0.17738892
1,0.84226555
1,0.9223286
1,0.9983621
1,0.97638524
1,0.96097946
1,0.9814767
1,0.9515077
0,0.004466575
1,0.013418657
1,0.013175918
1,0.28712124
0,0.05130172
0,0.023407241
1,0.9623848
0,0.96547204
0,0.98635477
0,0.99297744
1,0.026243703
0,0.0057003153
0,0.0031208168
0,0.003103194
1,0.9552014
1,0.44198316
1,0.35948676
1,0.038375698
1,0.96541494
1,0.980609
1,0.9171315
0,0.022587622
1,0.015924862
1,0.010995671
0,0.006675739
0,0.009855681
0,0.0076151285
0,0.006510676
1,0.9806292
1,0.95884347
1,0.9607675
1,0.9527351
1,0.9654278
1,0.6827657
1,0.9821707
1,0.9548221
1,0.96542346
1,0.97703093
1,0.96402454
1,0.96861625
1,0.036102954
1,0.012595964
0,0.009499029
0,0.0069090477
0,0.11326279
1,0.98534167
1,0.9880019
0,0.007481551
0,0.010421741
0,0.008428896
0,0.0075727855
1,0.7038672
1,0.70711434
1,0.7176736
0,0.18926273
0,0.9959331
1,0.8482044
1,0.97650677
1,0.98148257
1,0.16348001
1,0.9831844
1,0.98033947
1,0.9159646
1,0.88921463
1,0.9023021
1,0.9742467
0,0.95658535
0,0.9814912
0,0.9859387
0,0.006705985
0,0.010960755
0,0.0124475835
0,0.0066847405
0,0.3277813
1,0.7669761
1,0.8505992
0,0.0037150932
0,0.006773744
0,0.0050749616
0,0.0044235433
0,0.0066830404
0,0.004272328
0,0.002184595
0,0.019148542
1,0.11502432
1,0.96287894
1,0.95343107
1,0.98402494
1,0.9533578
1,0.9654781
0,0.046866793
1,0.028081244
1,0.019127544
0,0.03667779
0,0.025893638
1,0.9717358
1,0.97451913
1,0.97882617
1,0.94175804
1,0.7228635
1,0.6647688
0,0.020277541
1,0.98721886
1,0.9889164
0,0.07391399
0,0.17596447
0,0.1998116
0,0.25794172
1,0.94270205
1,0.9732981
1,0.9899629
0,0.763773
0,0.012236082
0,0.7129133
0,0.20403801
1,0.97568136
1,0.96983653
1,0.98560774
1,0.9810162
1,0.95990896
1,0.9739105
0,0.035510216
1,0.86383283
1,0.8667283
1,0.95442617
1,0.79029334
1,0.96764797
1,0.9746796
1,0.7848932
1,0.51610035
1,0.59472114
0,0.65404606
0,0.07165707
1,0.053630006
0,0.03427052
0,0.009553027
0,0.009740321
0,0.007851546
0,0.0056579253
1,0.8283676
1,0.41301367
1,0.33232242
0,0.039476234
1,0.94788575
1,0.97430336
1,0.98600024
0,0.085773624
1,0.9618935
1,0.97050303
0,0.16406827
1,0.03168009
1,0.024889074
0,0.056358747
0,0.007611328
0,0.0144033125
0,0.013919954
0,0.012806829
1,0.9373363
1,0.51114047
1,0.43084902
1,0.9658184
1,0.9693257
1,0.98550814
1,0.99027926
1,0.07474946
1,0.65114814
1,0.68173414
1,0.96434
1,0.939562
1,0.95317423
1,0.98819435
1,0.9657937
1,0.9713444
0,0.01051656
1,0.7033971
1,0.66651726
0,0.05569958
0,0.3072237
0,0.346955
0,0.05193449
0,0.0046428354
0,0.023185529
0,0.017358446
0,0.0069564264
0,0.010603474
0,0.036326673
0,0.039084863
0,0.010248384
1,0.9772868
1,0.9129746
1,0.93029493
0,0.008989961
1,0.02005629
1,0.019468449
1,0.935492
1,0.9707356
1,0.9818386
1,0.9780677
1,0.9632731
1,0.97084075
0,0.014490281
0,0.01500354
0,0.007960469
0,0.0070726033
0,0.013381626
0,0.01061973
0,0.01115081
0,0.0027306813
0,0.0018635916
0,0.0015167522
0,0.008039562
1,0.008383589
1,0.0069307075
0,0.14043559
1,0.91988873
1,0.9219539
1,0.061171874
1,0.7051965
1,0.75217944
1,0.9798908
1,0.8996331
1,0.86439425
1,0.49410468
0,0.29713738
0,0.36161378
0,0.043170325
1,0.97469115
1,0.96211606
1,0.9827459
1,0.97335964
0,0.0023819585
0,0.005927444
1,0.0063713756
0,0.0026104592
0,0.0076610446
0,0.01982804
0,0.015890308
0,0.01192002
1,0.73612607
0,0.0029545072
0,0.0043852315
0,0.0050740903
0,0.014213484
0,0.009785891
0,0.008321463
0,0.024941593
1,0.98316836
1,0.97890353
1,0.96832216
1,0.987512
1,0.9954471
1,0.9724229
1,0.95713896
1,0.96965057
0,0.003967326
0,0.0023294452
0,0.0016395258
0,0.0022419922
1,0.42166066
0,0.019573977
0,0.015267794
0,0.020861456
1,0.49348956
1,0.042185728
1,0.041300055
0,0.0038053892
