valid_true,valid_probe
1,0.9570132
1,0.9685689
1,0.9745669
1,0.99058086
1,0.94782555
1,0.9589112
1,0.94143546
1,0.9562786
1,0.9558655
0,0.36041754
1,0.9494585
1,0.9693084
0,0.008116232
0,0.00507461
0,0.0030429908
0,0.0036943778
1,0.9020958
1,0.9266555
1,0.8452068
0,0.0032933143
0,0.0022251944
0,0.0015790648
0,0.0041471296
0,0.009547497
0,0.0057510044
0,0.008086984
1,0.9591238
1,0.9602694
1,0.008059818
0,0.002570528
0,0.006306435
0,0.026964981
1,0.92996967
1,0.92007023
1,0.93421066
1,0.89561445
1,0.93055034
0,0.0042297575
1,0.9605101
1,0.9400696
1,0.9855591
1,0.9419852
1,0.95591974
1,0.9743946
1,0.9580791
0,0.019571342
0,0.012952013
0,0.010503171
0,0.012243466
1,0.5781498
1,0.8756359
1,0.91913694
0,0.09252676
1,0.92527795
1,0.95203555
1,0.90902954
1,0.9541819
1,0.9602187
1,0.9598568
1,0.94655234
1,0.929586
1,0.95696783
1,0.88693374
1,0.915896
1,0.9493446
1,0.96727484
1,0.91851026
1,0.95067847
0,0.8943343
0,0.93389374
0,0.64788073
1,0.8825645
1,0.93014723
1,0.9610621
1,0.81499994
1,0.37179866
1,0.88025683
1,0.8639793
1,0.9742594
1,0.95045507
1,0.9379462
1,0.96431524
0,0.0063629495
0,0.0027175418
0,0.0036620973
0,0.010337442
0,0.008183984
0,0.0062026447
0,0.008744037
0,0.0047783167
0,0.004077127
0,0.002619376
0,0.0029671013
1,0.8338679
1,0.87126124
1,0.9168113
1,0.9480921
1,0.96125025
1,0.9537063
0,0.9224188
0,0.8679179
0,0.91188836
0,0.84917617
1,0.95065206
1,0.93403494
1,0.9857503
1,0.38039348
1,0.7538404
1,0.77990437
0,0.026799634
0,0.00926941
1,0.008906218
0,0.005930403
1,0.94522655
1,0.960012
0,0.6105934
0,0.8626348
0,0.9114332
0,0.413026
0,0.0018295662
1,0.9735343
0,0.21360834
0,0.13729881
0,0.0353313
1,0.9545254
1,0.95204353
1,0.97688556
0,0.011975674
1,0.022800002
1,0.024296707
1,0.026042113
1,0.81248045
1,0.89380497
0,0.50424594
0,0.026233621
0,0.016626248
0,0.01186112
0,0.19107668
0,0.8439932
0,0.8617292
0,0.30668572
0,0.09250818
1,0.06143726
1,0.039883524
0,0.71754724
1,0.9158748
0,0.9238028
0,0.9440414
1,0.6850528
1,0.9573373
1,0.9726316
0,0.020922666
0,0.048984285
0,0.04882526
0,0.09242976
1,0.9631319
1,0.96120864
1,0.9873426
0,0.011679852
0,0.015851786
0,0.010908412
0,0.0074288826
1,0.15975396
1,0.2764283
1,0.25726777
1,0.06708676
0,0.02581215
0,0.14790946
0,0.07160898
1,0.2509409
1,0.18855569
1,0.1473674
0,0.863904
1,0.8508711
1,0.8849381
1,0.91701406
1,0.91506684
0,0.5746467
1,0.90293163
1,0.9280916
0,0.81144655
0,0.012849163
0,0.0037218004
0,0.0024680453
0,0.0034081566
1,0.11362083
1,0.88770056
1,0.9249318
1,0.91412747
0,0.8025069
0,0.4392164
0,0.020907117
0,0.006183682
0,0.0067263846
0,0.003471545
0,0.0061158794
0,0.18049994
1,0.95302284
1,0.9639528
0,0.0075884084
0,0.008890617
0,0.0137917
1,0.972831
1,0.95640725
1,0.9790364
1,0.48718768
1,0.85905796
1,0.8985768
0,0.009420516
1,0.97490853
1,0.96018463
1,0.98915046
1,0.96411717
1,0.96820474
1,0.9883295
1,0.9541323
1,0.95983076
1,0.97417647
0,0.036354218
0,0.023191432
0,0.007070189
1,0.016436609
1,0.010420226
1,0.006310889
1,0.76173395
1,0.25322896
1,0.153831
1,0.95369893
1,0.9635092
1,0.97644264
1,0.97798914
1,0.89745176
1,0.9070625
1,0.92221034
1,0.32927364
0,0.0043268423
0,0.0031414963
0,0.0030933497
1,0.8833875
0,0.20690103
0,0.15142265
0,0.06340735
1,0.9211598
1,0.9419337
1,0.9582901
1,0.95947254
1,0.9782617
1,0.96362776
1,0.98137
0,0.0060076774
0,0.0048337276
0,0.0025324288
0,0.005290533
1,0.35728854
1,0.9632748
1,0.9690344
1,0.9373723
1,0.94502556
1,0.9708043
1,0.9568322
1,0.96653205
0,0.0027430763
0,0.0323602
0,0.011176697
0,0.93667036
0,0.3200401
0,0.22297798
0,0.077214316
1,0.031111011
1,0.1172277
1,0.098378964
1,0.07035644
1,0.6790984
1,0.7861233
0,0.23637643
1,0.07210855
0,0.0055446504
0,0.0025579748
0,0.003661304
1,0.028496366
1,0.10299817
1,0.097554795
1,0.07633804
0,0.07671463
0,0.96147746
0,0.95726293
0,0.017012585
0,0.087085925
0,0.06960219
1,0.98830134
1,0.87250096
1,0.8836503
0,0.012545665
1,0.9628557
1,0.9491958
1,0.97348106
1,0.42903188
1,0.83758914
1,0.90215
1,0.624079
1,0.9570774
1,0.94840854
1,0.9807591
1,0.7669851
1,0.84079915
1,0.8939692
0,0.073528804
0,0.052937195
0,0.014002672
1,0.9700155
1,0.95441324
1,0.9782081
1,0.34051645
0,0.052190237
0,0.02327084
0,0.021453187
0,0.008819651
0,0.037120122
0,0.035476442
0,0.20685934
1,0.2891439
1,0.22192536
0,0.45599043
1,0.89148736
1,0.9136065
1,0.95509785
1,0.9687281
1,0.9760198
1,0.9875049
1,0.876205
1,0.88002366
1,0.9012458
0,0.006183682
0,0.003471545
0,0.0061158794
0,0.14024426
1,0.96962535
1,0.9665544
1,0.97302294
0,0.0135254925
0,0.008645858
0,0.0044614747
0,0.005108477
1,0.102672644
1,0.6670407
1,0.6371932
0,0.89889264
1,0.9641395
1,0.9475363
1,0.9698654
0,0.9159961
0,0.004641696
0,0.0020157374
0,0.001409365
0,0.0026544111
1,0.96175677
1,0.9299556
1,0.95825213
1,0.04360725
1,0.14137295
1,0.10896882
0,0.14197688
1,0.07225542
1,0.04907743
1,0.03115032
1,0.019321052
0,0.6088839
1,0.9337563
1,0.9384509
1,0.95468307
1,0.820521
1,0.8603575
1,0.9793897
1,0.9458123
1,0.96621084
0,0.15658148
1,0.8926993
1,0.93875754
1,0.8372819
0,0.20958501
0,0.124675214
0,0.06929429
0,0.020059453
0,0.00920656
0,0.0064202654
0,0.00560127
1,0.77133363
1,0.9655276
1,0.97428006
1,0.9213629
1,0.33471397
1,0.1793404
1,0.9666213
1,0.9683944
1,0.9757318
1,0.9892357
0,0.2638915
0,0.9317703
0,0.93953204
0,0.91965103
1,0.5175577
0,0.023763198
0,0.011459799
0,0.016303679
1,0.9443061
1,0.95634687
1,0.9438942
0,0.19504051
0,0.007143696
0,0.012289384
0,0.0797246
0,0.0036696906
0,0.0015224919
0,0.003213054
1,0.99022233
0,0.0064947126
0,0.0026369335
1,0.9619081
1,0.97307366
1,0.9821583
0,0.015162061
1,0.11235994
1,0.09624594
1,0.0148048615
1,0.016542265
1,0.01728495
0,0.57633495
1,0.95780146
1,0.96941346
0,0.23604243
0,0.2532261
0,0.21083227
0,0.0752651
1,0.96255904
1,0.89397603
1,0.9209531
1,0.93189496
1,0.9578222
1,0.9355996
1,0.94220185
1,0.47671667
1,0.50444806
0,0.13917994
0,0.097296506
0,0.014393499
0,0.015640793
1,0.97890913
1,0.9588916
1,0.9787895
0,0.00879005
0,0.009275315
0,0.006298056
0,0.0072250986
0,0.015556757
1,0.92876446
1,0.94662666
0,0.004912237
0,0.0025945234
0,0.0017445042
0,0.0026817927
1,0.88220185
1,0.029889928
0,0.014467148
0,0.009661047
1,0.91896695
1,0.5728356
1,0.59525955
0,0.15907519
1,0.93295825
1,0.94943964
1,0.9644872
0,0.031943575
0,0.009379732
0,0.0032197454
1,0.9736872
1,0.10040789
0,0.039141245
0,0.013861609
0,0.012589015
0,0.03788677
0,0.04578897
0,0.010318024
1,0.97259676
1,0.9258297
1,0.95667624
1,0.7242936
1,0.8868781
1,0.9361732
0,0.0062413625
1,0.0050865267
1,0.0024079941
1,0.9796141
0,0.98275363
0,0.98496974
1,0.9540583
1,0.9671437
1,0.9643315
1,0.27260983
1,0.59896743
1,0.6939349
1,0.9691487
1,0.9527752
1,0.9705795
0,0.7636529
1,0.39179185
1,0.31017917
1,0.23919973
1,0.6294899
1,0.8969167
1,0.93760955
1,0.91772264
1,0.96007586
1,0.96685743
1,0.96819234
1,0.025366385
1,0.1717533
1,0.19027245
1,0.10750037
1,0.94543976
1,0.9697972
1,0.97236216
1,0.98568916
1,0.95629865
1,0.9698958
1,0.9658085
0,0.004300846
0,0.0014387168
0,0.0022418364
1,0.9706609
1,0.948355
1,0.97330767
1,0.9764554
0,0.9670227
0,0.9796265
0,0.9844045
1,0.96577436
