train_true,train_probe
0,0.0064769587
0,0.012200787
0,0.01184891
0,0.02664809
0,0.024379216
0,0.027295643
1,0.8503208
1,0.8282891
1,0.8431393
1,0.93447435
0,0.2110731
1,0.4216375
1,0.52891976
1,0.82928544
1,0.7453385
1,0.8307794
0,0.20770733
1,0.87591964
1,0.8450026
1,0.51098454
0,0.04220517
0,0.019246109
0,0.01060415
0,0.09395384
1,0.8433984
1,0.8621048
1,0.40372312
1,0.29005206
0,0.21940248
0,0.040485382
1,0.8566465
1,0.8495409
1,0.91256493
1,0.87073547
1,0.5565052
1,0.519938
1,0.735424
1,0.7102648
1,0.8644582
1,0.8722559
0,0.28016338
1,0.91646945
1,0.93681735
0,0.012421294
0,0.016027275
0,0.022241505
0,0.02113614
1,0.66734856
1,0.8838354
1,0.9374445
1,0.92906564
1,0.3625418
1,0.6795761
1,0.73485434
0,0.083483286
0,0.03370892
0,0.029561251
0,0.021445885
1,0.9027751
1,0.9307565
1,0.9225542
1,0.9187164
1,0.9066334
1,0.96411175
1,0.83952576
1,0.75502264
1,0.84476054
1,0.15650727
1,0.9180654
1,0.9389604
1,0.9686046
1,0.48777726
0,0.06738276
0,0.04916786
0,0.02401481
0,0.52916497
1,0.827269
1,0.8553425
1,0.13503899
1,0.053396113
1,0.044823255
0,0.08790784
1,0.70603293
1,0.86404586
1,0.8709244
1,0.9181023
1,0.96020466
0,0.10447244
0,0.02565439
0,0.025340607
1,0.89358443
1,0.8900295
1,0.95730084
0,0.11059917
1,0.67078334
1,0.796295
0,0.024016328
0,0.023728807
0,0.023252789
0,0.0160504
1,0.8606
1,0.8156966
1,0.8202194
1,0.8385073
1,0.8707017
1,0.87412375
0,0.07646191
0,0.04754225
0,0.06355246
0,0.052719533
1,0.44823065
1,0.75561225
1,0.858285
0,0.023844328
0,0.024928875
0,0.01640414
0,0.03082856
0,0.024602147
0,0.016057985
0,0.027131516
1,0.06452193
0,0.012683155
0,0.024258377
0,0.018091084
0,0.021903174
0,0.037670236
0,0.0376991
1,0.7713703
1,0.89824146
0,0.02700565
1,0.060962282
1,0.066082805
1,0.80291784
1,0.82385916
1,0.8886087
0,0.04651235
0,0.053533643
0,0.04021568
0,0.0336068
1,0.72438276
1,0.7019976
1,0.7571056
0,0.3220967
1,0.7907075
1,0.67285234
1,0.7235851
0,0.022700481
0,0.017851822
0,0.012008159
1,0.83699924
1,0.6350545
1,0.6135445
0,0.015471882
0,0.02512424
0,0.02168116
0,0.013129776
1,0.8615597
1,0.72297275
1,0.78519535
0,0.035994325
0,0.0521706
0,0.10028472
0,0.059281953
1,0.9012905
1,0.88158077
1,0.9452525
1,0.7578385
1,0.9119435
1,0.9383835
1,0.98008335
0,0.051101185
1,0.68754315
1,0.8526885
0,0.028496332
0,0.009904767
0,0.011849646
0,0.008584329
1,0.22702315
1,0.72047645
1,0.8344892
0,0.17745349
1,0.31748304
1,0.4023517
1,0.15971689
0,0.04308554
0,0.045449182
0,0.035371214
0,0.012700148
0,0.014422759
0,0.024755294
0,0.01702538
0,0.029926658
0,0.0127360895
0,0.011039471
0,0.014704013
0,0.016403526
0,0.018115913
0,0.017276319
0,0.015414621
0,0.030957373
0,0.04487376
0,0.052621607
0,0.018711656
0,0.06686709
1,0.7358766
0,0.40043002
0,0.349834
0,0.29734808
1,0.111791395
0,0.013745423
0,0.014767637
0,0.022351284
1,0.8715512
1,0.7736059
1,0.8318834
1,0.7936972
1,0.8749423
1,0.85436845
1,0.961007
1,0.21469085
0,0.023332892
0,0.020159278
0,0.008813729
0,0.022842659
0,0.01678213
0,0.015635611
1,0.84471554
1,0.75446826
1,0.81136054
1,0.850914
1,0.644585
1,0.63778144
1,0.8867217
1,0.8678033
1,0.82078964
1,0.44653198
1,0.9200987
1,0.9446335
1,0.9637902
0,0.021059725
0,0.015902922
0,0.014963418
0,0.020131713
0,0.00433642
0,0.004713931
0,0.011350102
0,0.013361898
0,0.011364387
