repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.5143126919001169,0.3747792299540798,0.6538461538461539,0.5243618348394136,0.029390031630093516
0,valid,0.5020597120326415,0.38440111420612816,0.6197183098591549,0.5020597120326415,0.004166964591831832
0,test,0.5339392795019683,0.391742195367573,0.6761363636363636,0.5339392795019683,0.06699902647663267
1,train,0.5389316575783202,0.5617667356797792,0.5160965794768612,0.5513856951231196,0.07663981491664344
1,valid,0.5227871601389388,0.5633608815426997,0.48221343873517786,0.5227871601389388,0.045021615860736476
1,test,0.5699513993631641,0.5860566448801743,0.5538461538461539,0.5699513993631642,0.13669919496201935
2,train,0.5063813757955523,0.3372494816862474,0.6755132699048573,0.5169833187929787,0.013320331480788072
2,valid,0.4699384536301856,0.3135935397039031,0.6262833675564682,0.46993845363018566,-0.06218667655477932
2,test,0.48344862807001254,0.36353591160220994,0.6033613445378151,0.48344862807001254,-0.033420791938293365
3,train,0.8824762136757036,0.809931506849315,0.9550209205020921,0.9578928325786668,0.7482012741403679
3,valid,0.7496911407578289,0.6671105193075899,0.832271762208068,0.7496911407578289,0.4867231918599976
3,test,0.7108736819879382,0.5797933409873708,0.8419540229885057,0.7108736819879383,0.42915091423271357
4,train,0.5300599750220714,0.34346193240013656,0.7166580176440063,0.5655450930630703,0.06307442156394091
4,valid,0.5248709779127462,0.3390501319261214,0.710691823899371,0.5248709779127463,0.0519252335963064
4,test,0.5400779727095517,0.36608187134502923,0.7140740740740741,0.5400779727095517,0.08459514670551246
